network_rtt_ms,V1_01,V1_02,V1_03,V2_01,V2_02,V2_03
0,5.571337386,8.141440256,7.033992547,4.933530783,3.853980556,12.62024749
25,5.57210523,8.179681861,7.066262205,4.954790754,3.8790766,12.63932853
50,5.575410096,8.224000269,7.09751564,4.973992596,3.913368003,12.66646754
100,5.585956797,8.344570686,7.161859601,5.025737157,3.969745418,12.72236276
200,5.61474168,8.60594828,7.322279663,5.149003098,4.13573223,12.84262575
300,5.661148127,8.915887436,7.514953421,5.282461599,4.375601957,13.00751766
400,5.730142919,9.264602878,7.769016458,5.496391143,4.665968715,13.23007716
500,5.826450644,9.67580982,8.066117543,5.739540918,5.063204163,13.50172575
600,5.959585009,10.16174534,8.429495016,6.029555705,5.495704671,13.83858723
700,6.12994221,10.68610921,8.883570957,6.387908304,6.016716902,14.23440185
800,6.339199627,11.3328122,9.431729961,6.797574811,6.720932124,14.71595256
900,6.592258888,12.08836166,10.07251803,7.288083673,8.133357481,15.26701273
1000,6.836429368,12.96793191,10.82596245,7.844394523,11.07042321,15.91231466
