network_rtt_ms,V1_01,V1_02,V1_03,V2_01,V2_02,V2_03
0,5.571160325,1.941764199,2.852791126,1.9593355,1.212492124,2.214712259
25,5.570373465,1.943048228,2.855581773,1.960185855,1.216211275,2.224295891
50,5.569934275,1.946159897,2.860044754,1.960600369,1.221521877,2.233963165
100,5.570500821,1.955855895,2.867212601,1.962450757,1.230685576,2.255811948
200,5.567234004,1.976910922,2.885657698,1.966531194,1.254284783,2.300569735
300,5.562647858,1.996015571,2.906234249,1.968287791,1.274705985,2.338660549
400,5.557877832,2.018076319,2.930211896,1.971391429,1.291089684,2.363742223
500,5.551517646,2.042026456,2.954821669,1.97060586,1.301182964,2.373150564
600,5.545293725,2.075076111,2.980993741,1.971107232,1.307368808,2.375140804
700,5.542194162,2.111773716,3.010222504,1.968930744,1.308969176,2.374152508
800,5.539699641,2.156862105,3.045993576,1.965434809,1.31653237,2.377588394
900,5.537193344,2.206843137,3.081151568,1.965216916,1.315435762,2.389724855
1000,5.610703286,2.2708901,3.131112289,1.961551429,1.358017425,2.407965495
