network_rtt(ms)	V1_01	V1_02	V1_03	V2_01	V2_02	V2_03	slow1	fast1	fast2
100	0.008746034	0.101818814	0.131917363	0.09111821	0.122052316	0.092246234	0.079113694	0.319920747	0.327873211
200	0.028815244	0.242903874	0.285317469	0.211156636	0.305331529	0.205225331	0.187810926	0.772256498	0.891700384
300	0.066177955	0.413066408	0.472438469	0.339006709	0.556408014	0.359309598	0.34497922	1.350057001	1.601417848
400	0.093559405	0.618798262	0.721574773	0.545311587	0.868817503	0.565996456	0.548504267	2.050195407	2.517435503
500	0.205916246	0.897448589	1.014131963	0.778054812	1.268923922	0.825581577	0.80484584	2.864267721	3.41317953
600	0.317675774	1.195330006	1.358767494	1.052148484	1.727868616	1.136407705	1.107867058	3.782779821	4.396754119
700	0.460504753	1.565080543	1.766951114	1.383406624	2.259932897	1.49674892	1.47039566	4.818801569	5.559098734
800	0.638143495	1.99987098	2.258930263	1.760820833	2.821671948	1.939770962	1.888502249	5.988951184	6.856706438
900	0.847751164	2.464388502	2.802998627	2.21438514	3.454119237	2.42231222	2.379799117	7.247799004	8.293444018
1000	1.041475333	3.026188093	3.420163926	2.710168495	4.152119315	2.997282571	2.969927503	8.664121312	9.903211392
