network_rtt (ms)	V1_01	V1_02	V1_03	V2_01	V2_02	V2_03	slow1	fast1	fast2
0	5.564813657	2.043423279	2.67957866	1.974785915	1.174531998	2.264929929	5.941727094	6.298961105	0.715908403
25	5.563767597	2.044607039	2.682155174	1.976033256	1.178793694	2.273051263	5.940311468	6.322109814	0.773326735
50	5.562737605	2.046705288	2.686223752	1.97657498	1.184371472	2.281782547	5.94125372	6.347008061	0.810096458
100	5.561780146	2.051295761	2.692833682	1.978927633	1.194426315	2.303419319	5.943154791	6.4059429	0.925466518
200	5.556931944	2.062343756	2.708341565	1.983559891	1.220722309	2.345953712	5.950904985	6.535550208	1.213271114
300	5.551262362	2.074582193	2.724845132	1.986934573	1.242425171	2.38142168	5.9680847	6.662897634	1.519328864
400	5.5451802	2.086967185	2.743695341	1.991274711	1.260730007	2.403973649	5.987819725	6.778586032	1.516395369
500	5.53827576	2.101358893	2.762611068	1.993604154	1.269461216	2.410167193	6.013187105	6.889371686	1.736799443
600	5.52868306	2.116792965	2.782221461	1.997387978	1.27279333	2.407996625	6.043844071	6.989564328	2.370146175
700	5.519857616	2.137310722	2.803497002	2.000823275	1.27167887	2.403943993	6.083428955	7.08876607	2.58756036
800	5.509492672	2.160199194	2.827483565	2.004024138	1.270777473	2.404453478	6.124811884	7.18495036	2.760262476
900	5.496398045	2.186073052	2.845424288	2.010205383	1.273069924	2.413957677	6.173972954	7.272381257	2.874446623
1000	5.579990008	2.220736624	2.870471618	2.01673993	1.279223102	2.430202835	6.23337542	7.364388316	2.928182204
