network_rtt (ms)	V1_01	V1_02	V1_03	V2_01	V2_02	V2_03	slow1	fast1	fast2
100	-0.003033511	0.007872482	0.013255023	0.004141718	0.019894317	0.03848939	0.001427697	0.106981795	0.209558115
200	-0.007881713	0.018920478	0.028762905	0.008773976	0.04619031	0.081023783	0.009177891	0.236589103	0.497362711
300	-0.013551295	0.031158915	0.045266472	0.012148658	0.067893173	0.116491751	0.026357606	0.363936529	0.803420461
400	-0.019633457	0.043543906	0.064116681	0.016488796	0.086198009	0.13904372	0.046092631	0.479624927	0.800486966
500	-0.026537897	0.057935614	0.083032409	0.018818239	0.094929218	0.145237264	0.071460011	0.590410582	1.02089104
600	-0.036130597	0.073369686	0.102642801	0.022602062	0.098261331	0.143066696	0.102116977	0.690603224	1.654237772
700	-0.044956041	0.093887443	0.123918343	0.02603736	0.097146872	0.139014063	0.141701861	0.789804966	1.871651956
800	-0.055320985	0.116775916	0.147904906	0.029238223	0.096245474	0.139523549	0.18308479	0.885989256	2.044354072
900	-0.068415613	0.142649774	0.165845628	0.035419468	0.098537926	0.149027748	0.23224586	0.973420152	2.158538219
1000	0.015176351	0.177313346	0.190892958	0.041954015	0.104691104	0.165272906	0.291648326	1.065427211	2.2122738
