network_rtt(ms)	V1_01	V1_02	V1_03	V2_01	V2_02	V2_03	slow1	fast1	fast2
0	4.967826196	6.333040605	4.314024949	3.485064065	3.174246701	6.671569117	1.640913371	1.893656204	1.079656902
25	4.977873784	6.370271812	4.374360908	3.492452689	3.244107292	6.718422166	1.683271588	1.962981584	1.398924196
50	4.995953393	6.426335437	4.401584069	3.513692459	3.295692484	6.797315823	1.74493147	2.107445425	1.782989598
100	5.023902086	6.496715384	4.524648468	3.579159887	3.394883166	6.864370045	2.012232828	2.600880605	3.314487549
200	5.126170206	6.850095275	4.782164384	3.743941016	3.688888423	7.258920284	2.99136383	3.96912757	4.749028077
300	5.247166504	7.21634651	5.315369303	3.96995368	4.184033972	7.82232837	3.832600218	5.294524464	6.170128778
400	5.435917822	7.665361574	5.910617608	4.30530007	4.660450071	8.698445208	4.683306085	6.409682551	7.128149574
500	5.661744541	8.096728772	6.512680308	4.843624566	5.425914866	9.623232968	5.496074252	7.305707796	7.468476856
600	5.966686204	8.549319745	7.139211206	5.515328822	6.314766296	10.48773335	6.374444083	8.10998019	8.752569259
700	6.265546559	9.187235457	8.192411204	6.954223059	7.489048306	11.20755353	7.093859366	8.939500085	9.137847324
800	6.711943887	9.895412625	9.64746049	8.05235631	8.760312378	12.23371898	7.725900947	10.29258453	10.29837014
900	7.258227143	10.7521188	10.7734372	9.367706397	10.1151452	13.40474322	8.4083457	11.4397245	10.90597947
1000	7.835084594	11.78265053	12.15911623	10.48215744	11.2898365	14.32997016	9.172548459	12.15909322	12.43671932
