network_rtt(ms)	V1_01	V1_02	V1_03	V2_01	V2_02	V2_03	slow1	fast1	fast2
100	0.056075889	0.163674779	0.210623519	0.094095822	0.220636464	0.192800928	0.371319458	0.707224401	2.234830647
200	0.158344009	0.51705467	0.468139435	0.258876951	0.514641722	0.587351167	1.350450459	2.075471366	3.669371175
300	0.279340308	0.883305905	1.001344354	0.484889616	1.009787271	1.150759253	2.191686847	3.40086826	5.090471876
400	0.468091626	1.332320969	1.596592659	0.820236006	1.48620337	2.026876091	3.042392714	4.516026347	6.048492672
500	0.693918344	1.763688167	2.19865536	1.358560501	2.251668165	2.951663851	3.855160882	5.412051592	6.388819954
600	0.998860008	2.21627914	2.825186257	2.030264758	3.140519594	3.816164237	4.733530713	6.216323986	7.672912357
700	1.297720363	2.854194852	3.878386255	3.469158994	4.314801604	4.535984415	5.452945995	7.045843881	8.058190421
800	1.744117691	3.56237202	5.333435541	4.567292246	5.586065677	5.562149864	6.084987577	8.398928322	9.218713241
900	2.290400946	4.419078194	6.459412254	5.882642333	6.9408985	6.733174106	6.767432329	9.546068291	9.826322571
1000	2.867258398	5.449609921	7.845091286	6.997093371	8.115589796	7.658401042	7.531635088	10.26543702	11.35706242
