network_rtt(ms)	V1_01	V1_02	V1_03	V2_01	V2_02	V2_03	slow1	fast1	fast2
0	0.720893681	0.820817615	0.99066221	0.471914153	0.955747612	2.190462813	0.417102382	0.148745763	0.170283915
25	0.723750446	0.825511278	0.999041634	0.474349174	0.967470892	2.198984509	0.434365938	0.267613202	0.258912051
50	0.725238667	0.828456669	1.008210567	0.479466365	0.979778465	2.207496434	0.453827312	0.402797083	0.415050161
100	0.730006693	0.834211594	1.020462928	0.488319971	0.991567059	2.248252822	0.518473055	0.764138726	0.748070281
200	0.740477194	0.865649682	1.056323438	0.50684291	1.039074671	2.315047222	0.701790408	1.320393017	1.325713385
300	0.75198604	0.895349743	1.093875328	0.508783463	1.090592203	2.378246616	0.848178815	1.682896811	1.790299155
400	0.758908357	0.915240721	1.124764553	0.508324676	1.113386864	2.421398584	0.940208309	1.836775737	2.097436214
500	0.761805101	0.931476006	1.145076752	0.511438424	1.111456041	2.422459174	0.978522831	1.795786619	2.128460279
600	0.766478799	0.943191003	1.175849032	0.512811186	1.081751576	2.392233688	1.028540697	1.741406331	2.186607731
700	0.768092419	0.952718537	1.203873231	0.52078298	1.053654066	2.346181977	1.06745371	1.733508961	2.223444812
800	0.77401548	0.966578541	1.212632283	0.532163279	1.031834465	2.324574425	1.074244523	1.731112733	2.208579601
900	0.778120187	0.980136622	1.223309433	0.535849888	1.018045765	2.341077113	1.10287353	1.672483569	2.121099802
1000	0.801432221	0.988061343	1.220629844	0.537170233	1.028567305	2.384841772	1.109122751	1.654470158	2.043373654
