network_rtt(ms)	V1_01	V1_02	V1_03	V2_01	V2_02	V2_03	slow1	fast1	fast2
100	0.009113012	0.013393979	0.029800719	0.016405818	0.035819447	0.05779001	0.101370672	0.615392963	0.577786366
200	0.019583514	0.044832066	0.065661228	0.034928757	0.083327059	0.12458441	0.284688026	1.171647254	1.15542947
300	0.031092359	0.074532128	0.103213119	0.03686931	0.134844591	0.187783804	0.431076433	1.534151048	1.62001524
400	0.038014676	0.094423106	0.134102343	0.036410523	0.157639252	0.230935772	0.523105927	1.688029974	1.927152299
500	0.040911421	0.110658391	0.154414542	0.039524271	0.155708429	0.231996362	0.561420449	1.647040856	1.958176364
600	0.045585119	0.122373388	0.185186822	0.040897033	0.126003964	0.201770876	0.611438315	1.592660568	2.016323816
700	0.047198738	0.131900922	0.213211021	0.048868827	0.097906454	0.155719165	0.650351328	1.584763199	2.053160898
800	0.053121799	0.145760925	0.221970073	0.060249126	0.076086853	0.134111613	0.657142141	1.582366971	2.038295686
900	0.057226506	0.159319007	0.232647224	0.063935735	0.062298153	0.1506143	0.685771148	1.523737806	1.950815887
1000	0.08053854	0.167243728	0.229967634	0.06525608	0.072819693	0.19437896	0.692020369	1.505724395	1.873089739
